CNN inference debug log
----------------------

CONV1 [t=9235000]: ch=0, y=0, x=1, val=0
CONV1 [t=9265000]: ch=0, y=0, x=4, val=0
CONV1 [t=9265000]: ch=1, y=0, x=4, val=0
CONV1 [t=9265000]: ch=2, y=0, x=4, val=0
CONV1 [t=9265000]: ch=3, y=0, x=4, val=0
CONV1 [t=9265000]: ch=4, y=0, x=4, val=0
CONV1 [t=9265000]: ch=5, y=0, x=4, val=0
CONV1_PRE_RELU [t=9265000]: ch=0, y=0, x=4, val=-1
CONV1_PRE_RELU [t=9265000]: ch=1, y=0, x=4, val=-1
CONV1_PRE_RELU [t=9265000]: ch=2, y=0, x=4, val=-1
CONV1_PRE_RELU [t=9265000]: ch=3, y=0, x=4, val=-1
CONV1_PRE_RELU [t=9265000]: ch=4, y=0, x=4, val=-1
CONV1_PRE_RELU [t=9265000]: ch=5, y=0, x=4, val=-1
CONV1 [t=9275000]: ch=0, y=0, x=5, val=0
CONV1 [t=9275000]: ch=1, y=0, x=5, val=0
CONV1 [t=9275000]: ch=2, y=0, x=5, val=0
CONV1 [t=9275000]: ch=3, y=0, x=5, val=0
CONV1 [t=9275000]: ch=4, y=0, x=5, val=0
CONV1 [t=9275000]: ch=5, y=0, x=5, val=0
CONV1_PRE_RELU [t=9275000]: ch=0, y=0, x=5, val=-1
CONV1_PRE_RELU [t=9275000]: ch=1, y=0, x=5, val=-1
CONV1_PRE_RELU [t=9275000]: ch=2, y=0, x=5, val=-1
CONV1_PRE_RELU [t=9275000]: ch=3, y=0, x=5, val=-1
CONV1_PRE_RELU [t=9275000]: ch=4, y=0, x=5, val=-1
CONV1_PRE_RELU [t=9275000]: ch=5, y=0, x=5, val=-1
CONV1 [t=9285000]: ch=0, y=0, x=6, val=0
CONV1 [t=9285000]: ch=1, y=0, x=6, val=0
CONV1 [t=9285000]: ch=2, y=0, x=6, val=0
CONV1 [t=9285000]: ch=3, y=0, x=6, val=0
CONV1 [t=9285000]: ch=4, y=0, x=6, val=0
CONV1 [t=9285000]: ch=5, y=0, x=6, val=0
CONV1_PRE_RELU [t=9285000]: ch=0, y=0, x=6, val=-1
CONV1_PRE_RELU [t=9285000]: ch=1, y=0, x=6, val=-1
CONV1_PRE_RELU [t=9285000]: ch=2, y=0, x=6, val=-1
CONV1_PRE_RELU [t=9285000]: ch=3, y=0, x=6, val=-1
CONV1_PRE_RELU [t=9285000]: ch=4, y=0, x=6, val=-1
CONV1_PRE_RELU [t=9285000]: ch=5, y=0, x=6, val=-1
CONV1 [t=9295000]: ch=0, y=0, x=7, val=0
CONV1 [t=9295000]: ch=1, y=0, x=7, val=0
CONV1 [t=9295000]: ch=2, y=0, x=7, val=0
CONV1 [t=9295000]: ch=3, y=0, x=7, val=0
CONV1 [t=9295000]: ch=4, y=0, x=7, val=0
CONV1 [t=9295000]: ch=5, y=0, x=7, val=0
CONV1_PRE_RELU [t=9295000]: ch=0, y=0, x=7, val=-1
CONV1_PRE_RELU [t=9295000]: ch=1, y=0, x=7, val=-1
CONV1_PRE_RELU [t=9295000]: ch=2, y=0, x=7, val=-1
CONV1_PRE_RELU [t=9295000]: ch=3, y=0, x=7, val=-1
CONV1_PRE_RELU [t=9295000]: ch=4, y=0, x=7, val=-1
CONV1_PRE_RELU [t=9295000]: ch=5, y=0, x=7, val=-1
CONV1 [t=9305000]: ch=0, y=0, x=8, val=0
CONV1 [t=9305000]: ch=1, y=0, x=8, val=0
CONV1 [t=9305000]: ch=2, y=0, x=8, val=0
CONV1 [t=9305000]: ch=3, y=0, x=8, val=0
CONV1 [t=9305000]: ch=4, y=0, x=8, val=0
CONV1 [t=9305000]: ch=5, y=0, x=8, val=0
CONV1_PRE_RELU [t=9305000]: ch=0, y=0, x=8, val=-1
CONV1_PRE_RELU [t=9305000]: ch=1, y=0, x=8, val=-1
CONV1_PRE_RELU [t=9305000]: ch=2, y=0, x=8, val=-1
CONV1_PRE_RELU [t=9305000]: ch=3, y=0, x=8, val=-1
CONV1_PRE_RELU [t=9305000]: ch=4, y=0, x=8, val=-1
CONV1_PRE_RELU [t=9305000]: ch=5, y=0, x=8, val=-1
CONV1 [t=9315000]: ch=0, y=0, x=9, val=0
CONV1 [t=9315000]: ch=1, y=0, x=9, val=0
CONV1 [t=9315000]: ch=2, y=0, x=9, val=0
CONV1 [t=9315000]: ch=3, y=0, x=9, val=0
CONV1 [t=9315000]: ch=4, y=0, x=9, val=0
CONV1 [t=9315000]: ch=5, y=0, x=9, val=0
CONV1_PRE_RELU [t=9315000]: ch=0, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=1, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=2, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=3, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=4, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=5, y=0, x=9, val=-1
CONV1 [t=9325000]: ch=0, y=0, x=10, val=0
CONV1 [t=9325000]: ch=1, y=0, x=10, val=0
CONV1 [t=9325000]: ch=2, y=0, x=10, val=0
CONV1 [t=9325000]: ch=3, y=0, x=10, val=0
CONV1 [t=9325000]: ch=4, y=0, x=10, val=0
CONV1 [t=9325000]: ch=5, y=0, x=10, val=0
CONV1_PRE_RELU [t=9325000]: ch=0, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=1, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=2, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=3, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=4, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=5, y=0, x=10, val=-1
CONV1 [t=9335000]: ch=0, y=0, x=11, val=0
CONV1 [t=9335000]: ch=1, y=0, x=11, val=0
CONV1 [t=9335000]: ch=2, y=0, x=11, val=0
CONV1 [t=9335000]: ch=3, y=0, x=11, val=0
CONV1 [t=9335000]: ch=4, y=0, x=11, val=0
CONV1 [t=9335000]: ch=5, y=0, x=11, val=0
CONV1_PRE_RELU [t=9335000]: ch=0, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=1, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=2, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=3, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=4, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=5, y=0, x=11, val=-1
CONV1 [t=9345000]: ch=0, y=0, x=12, val=0
CONV1 [t=9345000]: ch=1, y=0, x=12, val=0
CONV1 [t=9345000]: ch=2, y=0, x=12, val=0
CONV1 [t=9345000]: ch=3, y=0, x=12, val=0
CONV1 [t=9345000]: ch=4, y=0, x=12, val=0
CONV1 [t=9345000]: ch=5, y=0, x=12, val=0
CONV1_PRE_RELU [t=9345000]: ch=0, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=1, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=2, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=3, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=4, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=5, y=0, x=12, val=-1
CONV1 [t=9355000]: ch=0, y=0, x=13, val=0
CONV1 [t=9355000]: ch=1, y=0, x=13, val=0
CONV1 [t=9355000]: ch=2, y=0, x=13, val=0
CONV1 [t=9355000]: ch=3, y=0, x=13, val=0
CONV1 [t=9355000]: ch=4, y=0, x=13, val=0
CONV1 [t=9355000]: ch=5, y=0, x=13, val=0
CONV1_PRE_RELU [t=9355000]: ch=0, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=1, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=2, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=3, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=4, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=5, y=0, x=13, val=-1
CONV1 [t=9365000]: ch=0, y=0, x=14, val=0
CONV1 [t=9365000]: ch=1, y=0, x=14, val=0
CONV1 [t=9365000]: ch=2, y=0, x=14, val=0
CONV1 [t=9365000]: ch=3, y=0, x=14, val=0
CONV1 [t=9365000]: ch=4, y=0, x=14, val=0
CONV1 [t=9365000]: ch=5, y=0, x=14, val=0
CONV1_PRE_RELU [t=9365000]: ch=0, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=1, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=2, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=3, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=4, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=5, y=0, x=14, val=-1
CONV1 [t=9375000]: ch=0, y=0, x=15, val=0
CONV1 [t=9375000]: ch=1, y=0, x=15, val=0
CONV1 [t=9375000]: ch=2, y=0, x=15, val=0
CONV1 [t=9375000]: ch=3, y=0, x=15, val=0
CONV1 [t=9375000]: ch=4, y=0, x=15, val=0
CONV1 [t=9375000]: ch=5, y=0, x=15, val=0
CONV1_PRE_RELU [t=9375000]: ch=0, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=1, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=2, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=3, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=4, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=5, y=0, x=15, val=-1
CONV1 [t=9385000]: ch=0, y=0, x=16, val=0
CONV1 [t=9385000]: ch=1, y=0, x=16, val=0
CONV1 [t=9385000]: ch=2, y=0, x=16, val=0
CONV1 [t=9385000]: ch=3, y=0, x=16, val=0
CONV1 [t=9385000]: ch=4, y=0, x=16, val=0
CONV1 [t=9385000]: ch=5, y=0, x=16, val=0
CONV1_PRE_RELU [t=9385000]: ch=0, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=1, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=2, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=3, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=4, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=5, y=0, x=16, val=-1
CONV1 [t=9395000]: ch=0, y=0, x=17, val=0
CONV1 [t=9395000]: ch=1, y=0, x=17, val=0
CONV1 [t=9395000]: ch=2, y=0, x=17, val=0
CONV1 [t=9395000]: ch=3, y=0, x=17, val=0
CONV1 [t=9395000]: ch=4, y=0, x=17, val=0
CONV1 [t=9395000]: ch=5, y=0, x=17, val=0
CONV1_PRE_RELU [t=9395000]: ch=0, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=1, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=2, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=3, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=4, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=5, y=0, x=17, val=-1
CONV1 [t=9405000]: ch=0, y=0, x=18, val=0
CONV1 [t=9405000]: ch=1, y=0, x=18, val=0
CONV1 [t=9405000]: ch=2, y=0, x=18, val=0
CONV1 [t=9405000]: ch=3, y=0, x=18, val=0
CONV1 [t=9405000]: ch=4, y=0, x=18, val=0
CONV1 [t=9405000]: ch=5, y=0, x=18, val=0
CONV1_PRE_RELU [t=9405000]: ch=0, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=1, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=2, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=3, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=4, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=5, y=0, x=18, val=-1
CONV1 [t=9415000]: ch=0, y=0, x=19, val=0
CONV1 [t=9415000]: ch=1, y=0, x=19, val=0
CONV1 [t=9415000]: ch=2, y=0, x=19, val=0
CONV1 [t=9415000]: ch=3, y=0, x=19, val=0
CONV1 [t=9415000]: ch=4, y=0, x=19, val=0
CONV1 [t=9415000]: ch=5, y=0, x=19, val=0
CONV1_PRE_RELU [t=9415000]: ch=0, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=1, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=2, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=3, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=4, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=5, y=0, x=19, val=-1
CONV1 [t=9425000]: ch=0, y=0, x=20, val=0
CONV1 [t=9425000]: ch=1, y=0, x=20, val=0
CONV1 [t=9425000]: ch=2, y=0, x=20, val=0
CONV1 [t=9425000]: ch=3, y=0, x=20, val=0
CONV1 [t=9425000]: ch=4, y=0, x=20, val=0
CONV1 [t=9425000]: ch=5, y=0, x=20, val=0
CONV1_PRE_RELU [t=9425000]: ch=0, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=1, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=2, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=3, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=4, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=5, y=0, x=20, val=-1
CONV1 [t=9435000]: ch=0, y=0, x=21, val=0
CONV1 [t=9435000]: ch=1, y=0, x=21, val=0
CONV1 [t=9435000]: ch=2, y=0, x=21, val=0
CONV1 [t=9435000]: ch=3, y=0, x=21, val=0
CONV1 [t=9435000]: ch=4, y=0, x=21, val=0
CONV1 [t=9435000]: ch=5, y=0, x=21, val=0
CONV1_PRE_RELU [t=9435000]: ch=0, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=1, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=2, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=3, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=4, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=5, y=0, x=21, val=-1
CONV1 [t=9445000]: ch=0, y=0, x=22, val=0
CONV1 [t=9445000]: ch=1, y=0, x=22, val=0
CONV1 [t=9445000]: ch=2, y=0, x=22, val=0
CONV1 [t=9445000]: ch=3, y=0, x=22, val=0
CONV1 [t=9445000]: ch=4, y=0, x=22, val=0
CONV1 [t=9445000]: ch=5, y=0, x=22, val=0
CONV1_PRE_RELU [t=9445000]: ch=0, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=1, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=2, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=3, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=4, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=5, y=0, x=22, val=-1
CONV1 [t=9455000]: ch=0, y=0, x=23, val=0
CONV1 [t=9455000]: ch=1, y=0, x=23, val=0
CONV1 [t=9455000]: ch=2, y=0, x=23, val=0
CONV1 [t=9455000]: ch=3, y=0, x=23, val=0
CONV1 [t=9455000]: ch=4, y=0, x=23, val=0
CONV1 [t=9455000]: ch=5, y=0, x=23, val=0
CONV1_PRE_RELU [t=9455000]: ch=0, y=0, x=23, val=-1
CONV1_PRE_RELU [t=9455000]: ch=1, y=0, x=23, val=-1
CONV1_PRE_RELU [t=9455000]: ch=2, y=0, x=23, val=-1
CONV1_PRE_RELU [t=9455000]: ch=3, y=0, x=23, val=-1
CONV1_PRE_RELU [t=9455000]: ch=4, y=0, x=23, val=-1
CONV1_PRE_RELU [t=9455000]: ch=5, y=0, x=23, val=-1
CONV1 [t=9465000]: ch=0, y=1, x=0, val=0
CONV1 [t=9465000]: ch=1, y=1, x=0, val=0
CONV1 [t=9465000]: ch=2, y=1, x=0, val=0
CONV1 [t=9465000]: ch=3, y=1, x=0, val=0
CONV1 [t=9465000]: ch=4, y=1, x=0, val=0
CONV1 [t=9465000]: ch=5, y=1, x=0, val=0
CONV1_PRE_RELU [t=9465000]: ch=0, y=1, x=0, val=-1
CONV1_PRE_RELU [t=9465000]: ch=1, y=1, x=0, val=-1
CONV1_PRE_RELU [t=9465000]: ch=2, y=1, x=0, val=-1
CONV1_PRE_RELU [t=9465000]: ch=3, y=1, x=0, val=-1
CONV1_PRE_RELU [t=9465000]: ch=4, y=1, x=0, val=-1
CONV1_PRE_RELU [t=9465000]: ch=5, y=1, x=0, val=-1
CONV1 [t=9515000]: ch=0, y=1, x=1, val=0
CONV1 [t=9515000]: ch=1, y=1, x=1, val=0
CONV1 [t=9515000]: ch=2, y=1, x=1, val=0
CONV1 [t=9515000]: ch=3, y=1, x=1, val=0
CONV1 [t=9515000]: ch=4, y=1, x=1, val=0
CONV1 [t=9515000]: ch=5, y=1, x=1, val=0
CONV1_PRE_RELU [t=9515000]: ch=0, y=1, x=1, val=-1
CONV1_PRE_RELU [t=9515000]: ch=1, y=1, x=1, val=-1
CONV1_PRE_RELU [t=9515000]: ch=2, y=1, x=1, val=-1
CONV1_PRE_RELU [t=9515000]: ch=3, y=1, x=1, val=-1
CONV1_PRE_RELU [t=9515000]: ch=4, y=1, x=1, val=-1
CONV1_PRE_RELU [t=9515000]: ch=5, y=1, x=1, val=-1
CONV1 [t=9525000]: ch=0, y=1, x=2, val=0
CONV1 [t=9525000]: ch=1, y=1, x=2, val=0
CONV1 [t=9525000]: ch=2, y=1, x=2, val=0
CONV1 [t=9525000]: ch=3, y=1, x=2, val=0
CONV1 [t=9525000]: ch=4, y=1, x=2, val=0
CONV1 [t=9525000]: ch=5, y=1, x=2, val=0
CONV1_PRE_RELU [t=9525000]: ch=0, y=1, x=2, val=-1
CONV1_PRE_RELU [t=9525000]: ch=1, y=1, x=2, val=-1
CONV1_PRE_RELU [t=9525000]: ch=2, y=1, x=2, val=15
CONV1_PRE_RELU [t=9525000]: ch=3, y=1, x=2, val=15
CONV1_PRE_RELU [t=9525000]: ch=4, y=1, x=2, val=15
CONV1_PRE_RELU [t=9525000]: ch=5, y=1, x=2, val=15
CONV1 [t=9535000]: ch=0, y=1, x=3, val=0
CONV1 [t=9535000]: ch=1, y=1, x=3, val=0
CONV1 [t=9535000]: ch=2, y=1, x=3, val=0
CONV1 [t=9535000]: ch=3, y=1, x=3, val=0
CONV1 [t=9535000]: ch=4, y=1, x=3, val=0
CONV1 [t=9535000]: ch=5, y=1, x=3, val=0
CONV1_PRE_RELU [t=9535000]: ch=0, y=1, x=3, val=31
CONV1_PRE_RELU [t=9535000]: ch=1, y=1, x=3, val=15
CONV1_PRE_RELU [t=9535000]: ch=2, y=1, x=3, val=15
CONV1_PRE_RELU [t=9535000]: ch=3, y=1, x=3, val=-1
CONV1_PRE_RELU [t=9535000]: ch=4, y=1, x=3, val=15
CONV1_PRE_RELU [t=9535000]: ch=5, y=1, x=3, val=-1
POOL1 [t=9535000]: ch=0, y=0, x=0, val=0
POOL1 [t=9535000]: ch=1, y=0, x=0, val=0
POOL1 [t=9535000]: ch=2, y=0, x=0, val=0
POOL1 [t=9535000]: ch=3, y=0, x=0, val=0
POOL1 [t=9535000]: ch=4, y=0, x=0, val=0
POOL1 [t=9535000]: ch=5, y=0, x=0, val=0
CONV1 [t=9545000]: ch=0, y=1, x=4, val=0
CONV1 [t=9545000]: ch=1, y=1, x=4, val=0
CONV1 [t=9545000]: ch=2, y=1, x=4, val=15
CONV1 [t=9545000]: ch=3, y=1, x=4, val=15
CONV1 [t=9545000]: ch=4, y=1, x=4, val=15
CONV1 [t=9545000]: ch=5, y=1, x=4, val=15
CONV1_PRE_RELU [t=9545000]: ch=0, y=1, x=4, val=15
CONV1_PRE_RELU [t=9545000]: ch=1, y=1, x=4, val=15
CONV1_PRE_RELU [t=9545000]: ch=2, y=1, x=4, val=15
CONV1_PRE_RELU [t=9545000]: ch=3, y=1, x=4, val=31
CONV1_PRE_RELU [t=9545000]: ch=4, y=1, x=4, val=-1
CONV1_PRE_RELU [t=9545000]: ch=5, y=1, x=4, val=15
CONV1 [t=9555000]: ch=0, y=1, x=5, val=31
CONV1 [t=9555000]: ch=1, y=1, x=5, val=15
CONV1 [t=9555000]: ch=2, y=1, x=5, val=15
CONV1 [t=9555000]: ch=3, y=1, x=5, val=0
CONV1 [t=9555000]: ch=4, y=1, x=5, val=15
CONV1 [t=9555000]: ch=5, y=1, x=5, val=0
CONV1_PRE_RELU [t=9555000]: ch=0, y=1, x=5, val=-1
CONV1_PRE_RELU [t=9555000]: ch=1, y=1, x=5, val=31
CONV1_PRE_RELU [t=9555000]: ch=2, y=1, x=5, val=-1
CONV1_PRE_RELU [t=9555000]: ch=3, y=1, x=5, val=-1
CONV1_PRE_RELU [t=9555000]: ch=4, y=1, x=5, val=31
CONV1_PRE_RELU [t=9555000]: ch=5, y=1, x=5, val=31
POOL1 [t=9555000]: ch=0, y=0, x=1, val=0
POOL1 [t=9555000]: ch=1, y=0, x=1, val=0
POOL1 [t=9555000]: ch=2, y=0, x=1, val=0
POOL1 [t=9555000]: ch=3, y=0, x=1, val=0
POOL1 [t=9555000]: ch=4, y=0, x=1, val=0
POOL1 [t=9555000]: ch=5, y=0, x=1, val=0
CONV1 [t=9565000]: ch=0, y=1, x=6, val=15
CONV1 [t=9565000]: ch=1, y=1, x=6, val=15
CONV1 [t=9565000]: ch=2, y=1, x=6, val=15
CONV1 [t=9565000]: ch=3, y=1, x=6, val=31
CONV1 [t=9565000]: ch=4, y=1, x=6, val=0
CONV1 [t=9565000]: ch=5, y=1, x=6, val=15
CONV1_PRE_RELU [t=9565000]: ch=0, y=1, x=6, val=15
CONV1_PRE_RELU [t=9565000]: ch=1, y=1, x=6, val=-1
CONV1_PRE_RELU [t=9565000]: ch=2, y=1, x=6, val=15
CONV1_PRE_RELU [t=9565000]: ch=3, y=1, x=6, val=15
CONV1_PRE_RELU [t=9565000]: ch=4, y=1, x=6, val=-1
CONV1_PRE_RELU [t=9565000]: ch=5, y=1, x=6, val=-1
CONV1 [t=9575000]: ch=0, y=1, x=7, val=0
CONV1 [t=9575000]: ch=1, y=1, x=7, val=31
CONV1 [t=9575000]: ch=2, y=1, x=7, val=0
CONV1 [t=9575000]: ch=3, y=1, x=7, val=0
CONV1 [t=9575000]: ch=4, y=1, x=7, val=31
CONV1 [t=9575000]: ch=5, y=1, x=7, val=31
CONV1_PRE_RELU [t=9575000]: ch=0, y=1, x=7, val=-1
CONV1_PRE_RELU [t=9575000]: ch=1, y=1, x=7, val=-1
CONV1_PRE_RELU [t=9575000]: ch=2, y=1, x=7, val=-1
CONV1_PRE_RELU [t=9575000]: ch=3, y=1, x=7, val=-1
CONV1_PRE_RELU [t=9575000]: ch=4, y=1, x=7, val=-1
CONV1_PRE_RELU [t=9575000]: ch=5, y=1, x=7, val=-1
POOL1 [t=9575000]: ch=0, y=0, x=2, val=31
POOL1 [t=9575000]: ch=1, y=0, x=2, val=15
POOL1 [t=9575000]: ch=2, y=0, x=2, val=15
POOL1 [t=9575000]: ch=3, y=0, x=2, val=15
POOL1 [t=9575000]: ch=4, y=0, x=2, val=15
POOL1 [t=9575000]: ch=5, y=0, x=2, val=15
CONV1 [t=9585000]: ch=0, y=1, x=8, val=15
CONV1 [t=9585000]: ch=1, y=1, x=8, val=0
CONV1 [t=9585000]: ch=2, y=1, x=8, val=15
CONV1 [t=9585000]: ch=3, y=1, x=8, val=15
CONV1 [t=9585000]: ch=4, y=1, x=8, val=0
CONV1 [t=9585000]: ch=5, y=1, x=8, val=0
CONV1_PRE_RELU [t=9585000]: ch=0, y=1, x=8, val=-1
CONV1_PRE_RELU [t=9585000]: ch=1, y=1, x=8, val=-1
CONV1_PRE_RELU [t=9585000]: ch=2, y=1, x=8, val=-1
CONV1_PRE_RELU [t=9585000]: ch=3, y=1, x=8, val=-1
CONV1_PRE_RELU [t=9585000]: ch=4, y=1, x=8, val=-1
CONV1_PRE_RELU [t=9585000]: ch=5, y=1, x=8, val=-1
CONV1 [t=9595000]: ch=0, y=1, x=9, val=0
CONV1 [t=9595000]: ch=1, y=1, x=9, val=0
CONV1 [t=9595000]: ch=2, y=1, x=9, val=0
CONV1 [t=9595000]: ch=3, y=1, x=9, val=0
CONV1 [t=9595000]: ch=4, y=1, x=9, val=0
CONV1 [t=9595000]: ch=5, y=1, x=9, val=0
CONV1_PRE_RELU [t=9595000]: ch=0, y=1, x=9, val=-1
CONV1_PRE_RELU [t=9595000]: ch=1, y=1, x=9, val=-1
CONV1_PRE_RELU [t=9595000]: ch=2, y=1, x=9, val=-1
CONV1_PRE_RELU [t=9595000]: ch=3, y=1, x=9, val=-1
